pressure,altitude,temperature,mixing_ratio
1020.79,0.02,14.24,9.31068017057616
1018.39,0.04,14.28,9.0604061758438
1016,0.06,14.42,8.58617042332359
1013.61,0.08,14.65,8.14836995854419
1011.23,0.1,14.91,8.03999103463129
1008.86,0.12,15.09,8.02400885532591
1006.49,0.14,15.16,7.93780751065887
1004.13,0.16,15.14,7.81506168153242
1001.78,0.18,15.14,7.61441880237929
999.43,0.2,15.25,7.21204731426851
997.09,0.22,15.43,6.73211293181175
994.75,0.24,15.55,6.34916801977288
992.42,0.26,15.61,6.24142503638614
990.09,0.28,15.62,6.30586065274956
987.77,0.3,15.66,6.30288799797501
985.45,0.32,15.75,6.13564293314944
983.15,0.34,15.85,5.93420731329044
980.84,0.36,15.92,5.65938859097492
978.54,0.38,15.92,5.52046133913204
976.25,0.4,15.8,5.84058545458024
973.96,0.42,15.66,6.5092853346271
971.68,0.44,15.59,6.88941023901356
969.4,0.46,15.65,6.74595845080891
967.13,0.48,15.71,6.50660275627136
964.86,0.5,15.66,6.59477617134437
962.58,0.52,15.48,7.09193761186864
960.32,0.54,15.24,7.87263341147314
958.07,0.56,14.99,8.70741310979714
955.82,0.58,14.74,9.33965897808405
953.57,0.6,14.58,9.5993120296217
951.33,0.62,14.42,9.67687129395648
949.1,0.64,14.25,9.70204408220049
946.87,0.66,14.13,9.74711531485375
944.64,0.68,14.04,9.81077966399017
942.42,0.7,13.98,9.88247633556289
940.2,0.72,13.93,9.9279300370326
937.99,0.74,13.85,9.93182055586588
935.78,0.76,13.75,9.9009174837396
933.58,0.78,13.68,9.88959095978387
931.38,0.8,13.64,9.88714258066206
929.19,0.82,13.6,9.87386706185178
927,0.84,13.55,9.85412340766844
924.81,0.86,13.49,9.82794352188217
922.64,0.88,13.49,9.76531068114655
920.46,0.9,13.62,9.63400648977052
918.3,0.92,13.84,9.55507810068445
916.14,0.94,14.13,9.49175085329347
913.99,0.96,14.37,9.48186889553903
911.84,0.98,14.58,9.49636103041864
